DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,ExtraterrestrialHorizontalRadiation,ExtraterrestrialDirectNormalRadiation,HorizontalInfraredRadiationIntensityfromSky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,PrecipitableWater,AerosolOpticalDepth,SnowDepth,OccupancySchedule,hours,dayofw,months,datee,holiday_bool,holiday_name,Heating,
-21.6,-25.4,71,100230,0,9999,177.2403841,0,0,0,0,0,0,34,9,0,8,0,0,0,0,0,4,1,2010-01-01,1,New Year's Day,56.92071302,0.363521522
-22.5,-26,73,100310,0,9999,174.261326,0,0,0,0,0,0,35,11,6,8,0,0,0,0,1,4,1,2010-01-01,1,New Year's Day,47.78495915,-0.613961276
-23.8,-27.5,71,100390,0,9999,157.3024504,0,0,0,0,0,0,34,13,4,1,0,0,0,0,2,4,1,2010-01-01,1,New Year's Day,62.08308972,-0.680733397
-24.6,-28.1,73,100510,0,9999,166.9440163,0,0,0,0,0,0,33,11,0,8,0,0,0,0,3,4,1,2010-01-01,1,New Year's Day,51.3164132,0.86788596
-25.6,-29.1,72,100610,0,9999,163.5424809,0,0,0,0,0,0,33,11,4,8,0,0,0,0,4,4,1,2010-01-01,1,New Year's Day,65.4474647,0.502061668
-26.5,-30,72,100670,0,9999,148.9268383,0,0,0,0,0,0,33,13,8,1,0,0,0,0,5,4,1,2010-01-01,1,New Year's Day,53.30226506,0.104618264
-26.9,-30.3,73,100730,0,9999,159.2711252,0,0,0,0,0,0,33,11,6,8,0,0,0,0.05,6,4,1,2010-01-01,1,New Year's Day,68.41311844,-0.645684949
-27.6,-31,73,100790,0,9999,145.6260264,0,0,0,0,1000,0,33,9,8,1,0,0,0,0.05,7,4,1,2010-01-01,1,New Year's Day,54.75651657,-0.975600881
-28.1,-31.5,73,100880,120,9999,155.3388687,37,0,0,5,15,3,35,7,5,8,0,0,0,0.05,8,4,1,2010-01-01,1,New Year's Day,68.05074781,-0.874444986
-28.1,-31.5,73,100960,308,9999,155.3388687,127,43,22,20,54,8,32,6,2,8,0,0,0,0.05,9,4,1,2010-01-01,1,New Year's Day,53.58328796,-0.175302334
-27.6,-31,73,101030,449,9999,156.968276,226,144,62,32,75,8,32,7,0,8,0,0,0,0.05,10,4,1,2010-01-01,1,New Year's Day,65.55539111,0.405983373
-26.9,-30.6,71,101070,533,9999,147.5621804,185,791,60,40,84,9,33,9,6,1,0,0,0,0.05,11,4,1,2010-01-01,1,New Year's Day,48.2351696,-0.896267028
-25.8,-29.8,69,101070,555,9999,150.7613478,232,837,65,42,69,15,32,4,3,1,0,0,0,0.05,12,4,1,2010-01-01,1,New Year's Day,53.29765436,0.109202534
-25.6,-29.8,68,101070,513,9999,148.4034626,251,836,66,32,27,22,29,6,6,0,0,0,0,0.05,13,4,1,2010-01-01,1,New Year's Day,36.79238255,-0.787492138
-24.9,-29.1,68,101050,410,9999,153.4496734,213,792,61,6,0,6,29,6,1,1,0,0,0,0.05,14,4,1,2010-01-01,1,New Year's Day,42.86911477,-0.89710923
-24.4,-28.6,68,101060,253,9999,155.0357368,117,683,48,5,0,5,28,6,0,1,0,0,0,0.05,15,4,1,2010-01-01,1,New Year's Day,32.48872201,0.87853925
-24.4,-28.8,67,101030,60,9999,164.344936,22,414,25,2,0,2,33,6,3,7,0,0,0,0.05,16,4,1,2010-01-01,1,New Year's Day,43.9114707,-0.07076725
-24.4,-28.3,70,101050,0,9999,167.3338368,0,0,0,0,0,0,25,4,7,8,0,0,0,0.05,17,4,1,2010-01-01,1,New Year's Day,40.59649938,0.241785102
-25.1,-28.5,73,101020,0,9999,162.7188959,0,0,0,0,0,0,22,6,8,7,0,0,0,0,18,4,1,2010-01-01,1,New Year's Day,53.5636753,-0.155960906
-25.4,-28.6,75,101020,0,9999,164.4382215,0,0,0,0,0,0,24,6,9,8,0,0,0,0,19,4,1,2010-01-01,1,New Year's Day,44.62855599,0.6022039
-25.3,-29,71,101010,0,9999,164.4106098,0,0,0,0,0,0,31,6,3,8,0,0,0,0,20,4,1,2010-01-01,1,New Year's Day,57.11922273,0.540099192
-25.8,-29.4,72,101000,0,9999,162.7955865,0,0,0,0,0,0,35,2,2,8,0,0,0,0,21,4,1,2010-01-01,1,New Year's Day,45.62634534,0.997318282
-26.2,-29.1,77,100920,0,9999,161.9617355,0,0,0,0,0,0,19,2,6,8,0,0,0,0,22,4,1,2010-01-01,1,New Year's Day,55.03630949,-0.998292983
-26.7,-29.6,76,100950,0,9999,148.7113073,0,0,0,0,0,0,20,6,2,1,0,0,0,0,23,4,1,2010-01-01,1,New Year's Day,44.4216714,0.425373233
-27,-30.1,75,100910,0,9999,159.1559593,0,0,0,0,0,0,20,2,0,8,0,0,0,0,0,5,1,2010-01-02,0,,56.46934134,-0.079243255
-27.4,-30.5,75,100930,0,9999,146.4328765,0,0,0,0,0,0,20,4,7,1,0,0,0,0,1,5,1,2010-01-02,0,,44.30263202,0.314884413
-27.9,-31,75,100950,0,9999,156.2021113,0,0,0,0,0,0,19,2,2,8,0,0,0,0,2,5,1,2010-01-02,0,,55.44767821,-0.891655782
-28.7,-32,73,100920,0,9999,153.4708492,0,0,0,0,0,0,22,2,4,8,0,0,0,0,3,5,1,2010-01-02,0,,43.43674445,-0.51889064
-29.3,-32.6,73,100880,0,9999,151.5503152,0,0,0,0,0,0,22,2,1,8,0,0,0,0,4,5,1,2010-01-02,0,,54.24157058,-0.740957787
-29.8,-33.1,73,100820,0,9999,149.9638003,0,0,0,0,0,0,11,2,6,8,0,0,0,0,5,5,1,2010-01-02,0,,63.41382704,0.549674019
-28.9,-32.1,74,100790,0,9999,152.8987841,0,0,0,0,0,0,20,6,9,8,0,0,0,0.1,6,5,1,2010-01-02,0,,97.65266067,-0.260257041
-28.8,-32,74,100780,0,9999,153.2197209,0,0,0,0,1000,0,19,4,1,8,0,0,0,0.2,7,5,1,2010-01-02,0,,196.1197849,0.973722004
-29.6,-33,72,100750,120,9999,150.5273159,41,0,0,3,0,3,20,2,4,8,0,0,0,0.95,8,5,1,2010-01-02,0,,192.485867,-0.750431793
-29.9,-33.3,72,100760,308,9999,138.7703991,181,333,23,21,57,8,11,4,0,1,0,0,0,0.95,9,5,1,2010-01-02,0,,192.1400925,-0.482004109
-28.8,-32,74,100790,450,9999,142.1483352,183,626,50,36,67,14,20,2,8,1,0,0,0,0.975703227,10,5,1,2010-01-02,0,,188.3511084,-0.143948987
-26.6,-29.7,75,100800,534,9999,148.8860962,167,746,64,33,36,19,20,4,5,1,0,0,0,0.95,11,5,1,2010-01-02,0,,176.236647,0.302637202
-25.9,-29.2,74,100740,557,9999,148.0828692,168,796,70,33,31,21,21,4,2,0,0,0,0,0.513528014,12,5,1,2010-01-02,0,,167.1772821,-0.623234136
-24.5,-28.1,72,100720,515,9999,152.2110851,90,802,69,43,75,16,20,4,3,0,0,0,0,0.95,13,5,1,2010-01-02,0,,154.910266,-0.826142011
-23.8,-28.6,65,100690,412,9999,153.5919944,80,763,62,32,80,9,16,4,9,0,0,0,0,0.975703227,14,5,1,2010-01-02,0,,146.0835156,0.999999853
